id,x,y
vs_34,127.870288900000006,36.968429260000001
vs_35,127.870178199999998,36.968444630000000
vs_36,127.870067500000005,36.968460010000001
vs_37,127.869957099999993,36.968476359999997
vs_38,127.869846699999997,36.968493199999998
vs_39,127.869736399999994,36.968510039999998
vs_40,127.869625999999997,36.968526879999999
vs_41,127.869529499999999,36.968571009999998
vs_42,127.869435899999999,36.968620829999999
vs_43,127.869342300000000,36.968670650000000
vs_44,127.869248700000000,36.968720480000002
vs_45,127.869155100000000,36.968770300000003
vs_46,127.869061500000001,36.968820119999997
vs_47,127.868971500000001,36.968873860000002
vs_48,127.868886000000003,36.968932289999998
vs_49,127.868802599999995,36.968992610000001
vs_50,127.868722000000005,36.969055370000000
vs_51,127.868631899999997,36.969103789999998
vs_52,127.868521900000005,36.969122120000002
vs_53,127.868411899999998,36.969140449999998
vs_514,127.874367800000002,36.970507830000003
vs_515,127.874451600000000,36.970565690000001
vs_516,127.874546600000002,36.970613710000002
vs_517,127.874641699999998,36.970661739999997
vs_518,127.874736700000000,36.970709759999998
vs_519,127.874704800000004,36.970789889999999
vs_520,127.874623400000004,36.970851990000000
vs_521,127.874542000000005,36.970914100000002
vs_522,127.874460600000006,36.970976210000003
vs_523,127.874438499999997,36.971040770000002
vs_524,127.874511499999997,36.971109269999999
vs_525,127.874584499999997,36.971177769999997
vs_526,127.874657499999998,36.971246270000002
vs_527,127.874730600000007,36.971314759999999
vs_528,127.874803600000007,36.971383260000003
vs_529,127.874876599999993,36.971451760000001
vs_530,127.874949599999994,36.971520259999998
vs_580,127.872358500000004,36.971774279999998
vs_581,127.872247599999994,36.971788580000002
vs_582,127.872136699999999,36.971802879999998
vs_583,127.872025800000003,36.971817170000001
vs_584,127.871914899999993,36.971831469999998
vs_587,127.871580899999998,36.971866769999998
vs_588,127.871469200000007,36.971876150000000
vs_665,127.871439899999999,36.970987000000001
vs_681,127.871766500000007,36.969663900000000
vs_728,127.869010500000002,36.968847240000002
vs_750,127.868837700000000,36.968965259999997
vs_759,127.868700700000005,36.969217770000000
vs_783,127.871398099999993,36.966771600000001
vs_784,127.871419399999994,36.966860099999998
vs_785,127.871440699999994,36.966948600000002
vs_786,127.871461999999994,36.967037089999998
vs_787,127.871468300000004,36.967063199999998
vs_789,127.871495600000003,36.967193399999999
vs_793,127.871843799999994,36.967143200000002
vs_795,127.871805100000003,36.967015699999997
vs_796,127.871774700000003,36.966928940000003
vs_797,127.871744199999995,36.966842180000000
vs_798,127.871713799999995,36.966755409999998
vs_799,127.871495600000003,36.967193399999999
vs_800,127.871517999999995,36.967281720000003
vs_801,127.871540400000001,36.967370039999999
vs_802,127.871562900000001,36.967458360000002
vs_803,127.871583900000005,36.967546900000002
vs_804,127.871599599999996,36.967636040000002
vs_805,127.871603800000003,36.967726010000000
vs_806,127.871603600000000,36.967748100000001
vs_807,127.871587099999999,36.967837260000003
vs_808,127.871562699999998,36.967925080000001
vs_809,127.871529499999994,36.968011009999998
vs_810,127.871484699999996,36.968093650000000
vs_811,127.871441099999998,36.968176730000003
vs_812,127.871431999999999,36.968194099999998
vs_813,127.871445300000005,36.968283599999999
vs_814,127.871448700000002,36.968306499999997
vs_816,127.871448700000002,36.968306499999997
vs_821,127.870509900000002,36.968397099999997
vs_822,127.870620299999999,36.968380310000001
vs_824,127.870766700000004,36.968364600000001
vs_825,127.870878399999995,36.968355080000002
vs_826,127.870990100000000,36.968345569999997
vs_827,127.871101800000005,36.968336049999998
vs_828,127.871213499999996,36.968326540000000
vs_829,127.871325200000001,36.968317020000001
vs_830,127.871436900000006,36.968307500000002
vs_831,127.871774599999995,36.968182300000002
vs_832,127.871800100000002,36.968094510000000
vs_833,127.871834100000001,36.968008750000003
vs_834,127.871871299999995,36.967923710000001
vs_835,127.871904599999993,36.967837629999998
vs_836,127.871934199999998,36.967750879999997
vs_837,127.871941100000001,36.967660989999999
vs_838,127.871932299999997,36.967571440000000
vs_839,127.871914099999998,36.967482570000001
vs_840,127.871889800000005,36.967394570000003
vs_841,127.871868199999994,36.967306200000003
vs_842,127.871855699999998,36.967216630000003
vs_843,127.871859900000004,36.967133629999999
vs_844,127.871950200000001,36.967080000000003
vs_845,127.872031000000007,36.967017890000001
vs_846,127.872107499999998,36.966951860000002
vs_847,127.871467199999998,36.968432300000003
vs_848,127.871566799999997,36.968420799999997
vs_849,127.871582500000002,36.968510049999999
vs_850,127.871586500000006,36.968532699999997
vs_852,127.871774599999995,36.968182300000002
vs_855,127.871790599999997,36.968450769999997
vs_857,127.871821999999995,36.968629270000001
vs_858,127.871837600000006,36.968718529999997
vs_859,127.871853200000004,36.968807779999999
vs_860,127.871867899999998,36.968891499999998
vs_861,127.871883499999996,36.968980760000001
vs_862,127.871897399999995,36.969070189999997
vs_863,127.871608300000005,36.968668700000002
vs_864,127.871624900000000,36.968757850000003
vs_865,127.871641499999996,36.968846990000003
vs_866,127.871657999999996,36.968936139999997
vs_867,127.871666000000005,36.968978999999997
vs_868,127.871682500000006,36.969068149999998
vs_869,127.871695000000003,36.969157719999998
vs_870,127.871695399999993,36.969160700000003
vs_871,127.871708400000003,36.969250219999999
vs_872,127.871721500000007,36.969339750000003
vs_873,127.871734000000004,36.969429320000003
vs_874,127.871746400000006,36.969518899999997
vs_875,127.871758799999995,36.969608479999998
vs_876,127.871766500000007,36.969663900000000
vs_877,127.871777699999996,36.969753590000003
vs_882,127.871900100000005,36.969087299999998
vs_895,127.873340499999998,36.969294320000003
vs_896,127.873330199999998,36.969204570000002
vs_910,127.871859799999996,36.969272799999999
vs_911,127.871869700000005,36.969362580000002
vs_912,127.871879600000000,36.969452369999999
vs_913,127.871889499999995,36.969542150000002
vs_914,127.871899400000004,36.969631929999998
vs_915,127.871909299999999,36.969721720000003
vs_923,127.872069300000007,36.970190500000001
vs_924,127.872088300000001,36.970279329999997
vs_925,127.872096200000001,36.970369200000000
vs_926,127.872099800000001,36.970459190000000
