metric_name,value,timestamp,request,request_id,rejection_reason,rejection_time,vehicle_id,assignment_time,request_origin,request_destination,origin_stop,destination_stop,estimated_pickup_time,estimated_dropoff_time,waiting_time_mins,in_vehicle_time_mins,passenger_id,origin,stop_id,destination
request.received,1.0,2024-10-24 19:38:50,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': '6a54c98c-572d-4e91-aa7d-c81741c992f4', 'lat': 37.21424850044017, 'lon': 126.83339565980796}, 'estimated_price': None, 'id': 'R555', 'origin': {'id': 'a113a2d5-fda5-44d6-8d0b-4f9b1faad531', 'lat': 37.21028270825261, 'lon': 126.82131930022204}, 'passenger_id': 'P555', 'request_time': '2024-10-24T19:38:50', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:38:53,,R555,,,vehicle_8,2024-10-24T19:38:53,"{'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}","{'id': '2bc44e47-92df-414c-ab3a-7c9791cd01b1', 'lat': 37.21335048, 'lon': 126.8325756}","{'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}","{'id': '2bc44e47-92df-414c-ab3a-7c9791cd01b1', 'lat': 37.21335048, 'lon': 126.8325756}",2024-10-24T19:40:48.926628,2024-10-24T19:44:53.015745,1.1567278166666666,4.06815195,,,,
passenger.walk_time_to_origin_stop,48.52295918367348,2024-10-24 19:39:43,,R555,,,,,,,"{'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}",,,,,,P555,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:35:13.624233', 'current_load': 0.0, 'id': 'e28d7af3-181a-4ab8-b849-0917e68ede7f', 'location': {'id': 'f86374ad-95af-4392-b2c9-435d559352f1', 'lat': 37.21080306, 'lon': 126.8205232}, 'metadata': {'area_id': 'area_3721_12682', 'creation_time': '2024-10-24T15:44:18', 'selection_method': 'coverage_based', 'type': 'origin', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:35:13.624234'}",,
vehicle.occupied_distance,1608.7397416988624,2024-10-24 19:40:06,,,,,vehicle_9,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:40:06,,,,,vehicle_9,,,,,,,,,,,,,
passenger.wait_time,368.0,2024-10-24 19:40:07,,R551,,,vehicle_9,,,,,,,,,,P551,,7535f6f8-189a-4cd1-a6db-b25bf9ae63eb,
request.received,1.0,2024-10-24 19:40:41,"{'_version': '1.0', 'assignment_id': None, 'constraints': None, 'destination': {'id': 'ea70d69e-fda4-4efd-ac8f-a66f86b08a34', 'lat': 37.21118635133553, 'lon': 126.82241102456337}, 'estimated_price': None, 'id': 'R556', 'origin': {'id': 'bc959ef0-f830-44de-8844-1ba45d9e6744', 'lat': 37.20951123693478, 'lon': 126.8313536633655}, 'passenger_id': 'P556', 'request_time': '2024-10-24T19:40:41', 'status': 'pending', 'type': 'immediate'}",,,,,,,,,,,,,,,,,
request.assigned,1.0,2024-10-24 19:40:44,,R556,,,vehicle_4,2024-10-24T19:40:44,"{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}","{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}","{'id': '345c63a9-2365-4318-bffc-96fec2a28b53', 'lat': 37.21141554, 'lon': 126.8222724}",2024-10-24T19:42:45.869126,2024-10-24T19:45:00.128035,1.1453697833333334,4.368800585001422,,,,
vehicle.occupied_distance,599.7102889936946,2024-10-24 19:41:19,,,,,vehicle_9,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:41:19,,,,,vehicle_9,,,,,,,,,,,,,
passenger.ride_time,268.0,2024-10-24 19:41:20,,,,,vehicle_9,,,,,,,,,,P548,,,
passenger.walk_time_to_origin_stop,55.1469387755102,2024-10-24 19:41:41,,R556,,,,,,,"{'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}",,,,,,P556,"{'capacity': 10.0, 'capacity_exceeded': False, 'congestion_level': 'low', 'created_at': '2025-03-05T17:32:45.553271', 'current_load': 0.0, 'id': '2553530b-e990-4cc5-871d-897d624a578c', 'location': {'id': '11799ca9-69c2-44f3-a901-d609743cb1f1', 'lat': 37.20892959, 'lon': 126.8308099}, 'metadata': {'area_id': 'area_3720_12683', 'creation_time': '2024-10-24T07:10:38', 'selection_method': 'coverage_based', 'type': 'destination', 'virtual': True}, 'status': 'active', 'type': 'virtual', 'updated_at': '2025-03-05T17:32:45.553272'}",,
passenger.walk_time_from_destination_stop,302.53785714285715,2024-10-24 19:41:55,,,,,,,,,,"{'id': '191889bb-b4c6-4faa-8963-40ffa58baddd', 'lat': 37.21165242, 'lon': 126.82288}",,,,,P540,,,"{'id': '912f6046-e0a9-4a90-8bb8-565f842ed324', 'lat': 37.21027187589499, 'lon': 126.82301904233444}"
passenger.walk_time_from_destination_stop,78.15510204081635,2024-10-24 19:42:39,,,,,,,,,,"{'id': '2bc44e47-92df-414c-ab3a-7c9791cd01b1', 'lat': 37.21335048, 'lon': 126.8325756}",,,,,P548,,,"{'id': 'cd816051-bf33-4d81-bc28-4d4245afbec5', 'lat': 37.212965466381064, 'lon': 126.83305339963184}"
vehicle.empty_distance,1023.4998182331166,2024-10-24 19:42:47,,,,,vehicle_4,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:42:47,,,,,vehicle_4,,,,,,,,,,,,,
passenger.wait_time,67.0,2024-10-24 19:42:48,,R556,,,vehicle_4,,,,,,,,,,P556,,2553530b-e990-4cc5-871d-897d624a578c,
vehicle.occupied_distance,1336.955426819506,2024-10-24 19:44:01,,,,,vehicle_9,,,,,,,,,,,,,
vehicle.stops_served,1.0,2024-10-24 19:44:01,,,,,vehicle_9,,,,,,,,,,,,,
passenger.ride_time,235.0,2024-10-24 19:44:02,,,,,vehicle_9,,,,,,,,,,P551,,,
