idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time,pickup_time,dropoff_time
30,56,56,7,8930e038acfffff,8930e038acfffff,126.83427682016324,37.204338572232736,126.83534122216906,37.20618840487948,2024-10-24 07:12:43,2024-10-24 07:12:43,2024-10-24 07:17:43.000000000
31,38,51,7,8930e039d07ffff,8930e038e4bffff,126.82451511300242,37.20064736048271,126.81911889087972,37.21188437035675,2024-10-24 07:12:48,2024-10-24 07:12:48,2024-10-24 07:17:48.000000000
32,51,71,7,8930e038e4bffff,8930e038a0bffff,126.81921112994604,37.2090627514925,126.84088274194268,37.20451638126307,2024-10-24 07:13:39,2024-10-24 07:13:39,2024-10-24 07:18:39.000000000
33,50,26,7,8930e038e4fffff,8930e039d43ffff,126.8217421894656,37.21031163237848,126.8181217678392,37.19293642643176,2024-10-24 07:14:15,2024-10-24 07:14:15,2024-10-24 07:24:01.659268044
34,37,4,7,8930e039d0bffff,8930e039db3ffff,126.82223147707585,37.19701635385674,126.82083612225033,37.208142261852814,2024-10-24 07:15:04,2024-10-24 07:15:04,2024-10-24 07:20:04.000000000
35,39,26,7,8930e039d03ffff,8930e039d43ffff,126.82093299250135,37.19902996123235,126.81776744374912,37.19387994864392,2024-10-24 07:15:22,2024-10-24 07:15:22,2024-10-24 07:21:47.640250132
36,26,38,7,8930e039d43ffff,8930e039d07ffff,126.81836930233536,37.19360815696318,126.82476562306476,37.20080228929621,2024-10-24 07:15:34,2024-10-24 07:15:34,2024-10-24 07:26:05.463894886
37,34,26,7,8930e039d17ffff,8930e039d43ffff,126.82290246966728,37.20250549327763,126.8189265386822,37.19327353696893,2024-10-24 07:15:54,2024-10-24 07:15:54,2024-10-24 07:20:54.000000000
38,12,18,7,8930e039d8fffff,8930e039d73ffff,126.81919919561598,37.20386004078123,126.82480165088984,37.19581674736397,2024-10-24 07:16:06,2024-10-24 07:16:06,2024-10-24 07:21:06.000000000
39,51,37,7,8930e038e4bffff,8930e039d0bffff,126.8194975954598,37.21052793078674,126.82271686954674,37.19750366911624,2024-10-24 07:16:42,2024-10-24 07:16:42,2024-10-24 07:21:42.000000000
40,58,37,7,8930e038ac7ffff,8930e039d0bffff,126.83599080937137,37.20862089323962,126.82142437062804,37.19746626260299,2024-10-24 07:16:48,2024-10-24 07:16:48,2024-10-24 07:21:48.000000000
41,71,58,7,8930e038a0bffff,8930e038ac7ffff,126.83900461671908,37.20415902490449,126.8346854115358,37.20840079538888,2024-10-24 07:17:16,2024-10-24 07:17:16,2024-10-24 07:22:16.000000000
42,37,51,7,8930e039d0bffff,8930e038e4bffff,126.82122485824053,37.19810552792915,126.82082215513375,37.20985767099915,2024-10-24 07:17:50,2024-10-24 07:17:50,2024-10-24 07:24:58.082194753
43,21,33,7,8930e039d57ffff,8930e039d23ffff,126.8193949979627,37.197629418924926,126.82863012740448,37.20112134040514,2024-10-24 07:18:06,2024-10-24 07:18:06,2024-10-24 07:24:28.265586420
44,50,38,7,8930e038e4fffff,8930e039d07ffff,126.8233937316856,37.21124223442274,126.82497146794702,37.201260383644794,2024-10-24 07:19:06,2024-10-24 07:19:06,2024-10-24 07:24:06.000000000
45,64,58,7,8930e038a73ffff,8930e038ac7ffff,126.8429559747408,37.20369855731504,126.83624965861708,37.209392378541786,2024-10-24 07:19:44,2024-10-24 07:19:44,2024-10-24 07:27:39.910808618
46,50,21,7,8930e038e4fffff,8930e039d57ffff,126.82224557275087,37.21054093799304,126.81954880365818,37.19669246268566,2024-10-24 07:19:52,2024-10-24 07:19:52,2024-10-24 07:24:52.000000000
47,51,37,7,8930e038e4bffff,8930e039d0bffff,126.820766934691,37.209382781747045,126.8223826611679,37.19696063287011,2024-10-24 07:20:14,2024-10-24 07:20:14,2024-10-24 07:25:14.000000000
48,48,48,7,8930e038e67ffff,8930e038e67ffff,126.83062145738408,37.213647113439094,126.8307345583462,37.21612212297565,2024-10-24 07:21:43,2024-10-24 07:21:43,2024-10-24 07:26:43.000000000
49,26,70,7,8930e039d43ffff,8930e038a13ffff,126.8197382673718,37.1934723558828,126.83719312216073,37.20975060489006,2024-10-24 07:22:45,2024-10-24 07:22:45,2024-10-24 07:27:45.000000000
50,50,37,7,8930e038e4fffff,8930e039d0bffff,126.82240116680448,37.21079405594127,126.82230900223462,37.19764649780635,2024-10-24 07:24:31,2024-10-24 07:24:31,2024-10-24 07:34:49.435949356
