idx,o_x1,o_y1,d_x2,d_y2,d_t,time,,,,
36817,127.8713632,36.96516587,127.8723351,36.97405716,11:17:00,11:13:00,,,,
36818,127.8701567,36.9683129,127.8691595,36.9691542,11:25:00,11:18:00,,,,
36819,127.8724097,36.97399571,127.8712111,36.96518441,11:24:00,11:21:00,,,,
36820,127.8690335,36.96910316,127.87236,36.97404271,11:44:00,11:40:00,,,,
36821,127.8724116,36.97404128,127.8711607,36.96488476,11:51:00,11:44:00,,,,
36822,127.8717982,36.9710058,127.8711694,36.9648564,11:52:00,11:48:00,,,,
36823,127.8735704,36.97345419,127.8710876,36.96528066,11:55:00,11:51:00,,,,
36824,127.8726587,36.9667445,127.8733952,36.9736651,11:58:00,11:54:00,,,,
36825,127.8723508,36.97401045,127.8708463,36.96400406,11:58:00,11:54:00,,,,
36826,127.8711898,36.96503696,127.8714664,36.96993647,12:02:00,11:59:00,,,,
36827,127.8728909,36.9667413,127.8734317,36.9734902,12:10:00,12:03:00,,,,
36828,127.8713091,36.9652894,127.87326,36.9689353,12:17:00,12:13:00,,,,
36829,127.8709607,36.96366825,127.8716293,36.96971907,12:22:00,12:19:00,,,,
36830,127.8708833,36.96376121,127.8712992,36.96522397,12:20:00,12:19:00,,,,
36831,127.8724698,36.97408187,127.8712804,36.96527922,12:27:00,12:23:00,,,,
36832,127.8726176,36.9726974,127.8726176,36.9726974,12:27:00,12:24:00,,,,
36833,127.8734462,36.9735133,127.8727546,36.9667448,12:27:00,12:24:00,,,,
36834,127.8714092,36.96522752,127.8714073,36.96994137,12:28:00,12:26:00,,,,
36835,127.8712343,36.96526726,127.8701222,36.96832442,12:29:00,12:26:00,,,,
36836,127.8724563,36.97406361,127.873394,36.97352369,12:31:00,12:29:00,,,,
36837,127.8723947,36.97404097,127.8713423,36.96701811,12:33:00,12:30:00,,,,
36838,127.8712016,36.9648955,127.8727781,36.9676046,12:35:00,12:32:00,,,,
36839,127.8713041,36.9651678,127.8723426,36.97405063,12:37:00,12:33:00,,,,
36840,127.8714707,36.96986443,127.8709231,36.96375858,12:36:00,12:34:00,,,,
36841,127.8734683,36.97338736,127.8734162,36.97354398,12:44:00,12:40:00,,,,
36842,127.8734481,36.9734207,127.8720419,36.9735953,12:54:00,12:50:00,,,,
36843,127.8735126,36.9734147,127.8742253,36.97052,12:56:00,12:52:00,,,,
36844,127.871248,36.9648488,127.8718578,36.97095667,12:59:00,12:55:00,,,,
36845,127.8714546,36.9698957,127.8733786,36.9735417,12:59:00,12:55:00,,,,
36846,127.8701698,36.96817281,127.8733913,36.97353924,13:00:00,12:56:00,,,,
36847,127.870968,36.9637861,127.8723339,36.9740568,13:05:00,12:58:00,,,,
36848,127.871757,36.97383595,127.8713097,36.96532782,13:04:00,13:00:00,,,,
36849,127.8716077,36.96967009,127.8710414,36.96371902,13:04:00,13:01:00,,,,
36850,127.8734342,36.97351,127.8723284,36.9740467,13:05:00,13:03:00,,,,
36851,127.8734856,36.97349323,127.8716154,36.9653624,13:08:00,13:03:00,,,,
36852,127.871787,36.9708569,127.8712105,36.964805,13:10:00,13:06:00,,,,
36853,127.8712826,36.96517753,127.8717956,36.97091129,13:11:00,13:07:00,,,,
36854,127.8712824,36.96531528,127.8717905,36.97092979,13:10:00,13:07:00,,,,
36855,127.871658,36.96539251,127.8702157,36.96835238,13:32:00,13:08:00,,,,
36856,127.8709825,36.9637942,127.8729001,36.9675898,13:18:00,13:15:00,,,,
36857,127.8708645,36.96371158,127.8740851,36.96800703,13:20:00,13:17:00,,,,
36858,127.8724773,36.97409755,127.8714434,36.97003459,13:19:00,13:17:00,,,,
36859,127.8733945,36.97349195,127.8709317,36.96341996,13:22:00,13:18:00,,,,
36860,127.8746514,36.9703685,127.8724061,36.9741024,13:26:00,13:23:00,,,,
36861,127.8735885,36.97330544,127.8719321,36.97198379,13:32:00,13:30:00,,,,
36862,127.8709604,36.9637779,127.8718075,36.9709145,13:38:00,13:34:00,,,,
36863,127.8734704,36.9734446,127.8700573,36.9718763,13:36:00,13:34:00,,,,
36864,127.8724731,36.96648674,127.8726342,36.96675108,13:39:00,13:38:00,,,,
36865,127.8711942,36.96511596,127.8734052,36.97350094,13:45:00,13:39:00,,,,
36866,127.8713781,36.9651948,127.8734524,36.97343374,13:53:00,13:40:00,,,,
36867,127.8727944,36.966821,127.8708623,36.96354,13:43:00,13:40:00,,,,
36868,127.8727587,36.96669516,127.8708091,36.96337251,13:43:00,13:41:00,,,,
36869,127.8700527,36.9719129,127.873447,36.9735617,13:44:00,13:41:00,,,,
36870,127.8716004,36.97379296,127.8723529,36.9740667,13:56:00,13:49:00,,,,
36871,127.8709969,36.9638355,127.8714491,36.9699285,13:54:00,13:51:00,,,,
36872,127.8711033,36.96369996,127.8723534,36.97405381,13:56:00,13:51:00,,,,
36873,127.8733881,36.97353864,127.8712877,36.96530835,13:54:00,13:51:00,,,,
36874,127.871065,36.96480378,127.8727616,36.96684845,13:56:00,13:55:00,,,,
36875,127.8724021,36.97405903,127.8729023,36.96758685,14:02:00,13:57:00,,,,
36876,127.8727769,36.9667749,127.8727882,36.9667698,13:58:00,13:57:00,,,,
36877,127.8724396,36.9741035,127.8717996,36.9709189,14:01:00,13:58:00,,,,
36878,127.8735183,36.97349643,127.8712255,36.96498347,14:06:00,13:59:00,,,,
36879,127.8727604,36.9668029,127.8701291,36.9683064,14:00:00,13:59:00,,,,
36880,127.8712132,36.9648975,127.8723644,36.9740312,14:04:00,13:59:00,,,,
36881,127.8731223,36.97358839,127.8712133,36.96500692,14:05:00,13:59:00,,,,
36882,127.8723326,36.97406865,127.8712408,36.96513852,14:04:00,14:00:00,,,,
36883,127.8713066,36.96528175,127.8732721,36.9689168,14:05:00,14:01:00,,,,
36884,127.8712955,36.9652522,127.8723787,36.9740295,14:10:00,14:02:00,,,,
36885,127.8723156,36.9740395,127.8712497,36.96502938,14:08:00,14:04:00,,,,
36886,127.8712395,36.96510796,127.8727747,36.9668128,14:10:00,14:05:00,,,,
36887,127.8701409,36.96829136,127.8711701,36.96552083,14:08:00,14:05:00,,,,
36888,127.8723944,36.97404373,127.8700125,36.96836799,14:10:00,14:07:00,,,,
36889,127.8727335,36.96745522,127.8712129,36.96502587,14:13:00,14:10:00,,,,
36890,127.8723955,36.97406326,127.8712091,36.96504633,14:17:00,14:12:00,,,,
36891,127.8728875,36.9675322,127.8712368,36.9652008,14:17:00,14:15:00,,,,
36892,127.872109,36.97384676,127.8714188,36.96992628,14:18:00,14:16:00,,,,
36893,127.8712282,36.9651696,127.8734808,36.9735439,14:23:00,14:19:00,,,,
36894,127.871604,36.967197,127.8717811,36.9737522,14:29:00,14:20:00,,,,
36895,127.8713441,36.9670046,127.8717877,36.9737757,14:29:00,14:20:00,,,,
36896,127.8715538,36.96992793,127.8711148,36.96481541,14:28:00,14:26:00,,,,
36897,127.8717124,36.97380251,127.8708481,36.96346114,14:30:00,14:26:00,,,,
36898,127.8717059,36.96985249,127.8710822,36.96484474,14:29:00,14:26:00,,,,
36899,127.871196,36.964952,127.8711811,36.9649815,14:56:00,14:28:00,,,,
36900,127.871713,36.9738302,127.8721816,36.97358,14:56:00,14:30:00,,,,
36901,127.8717804,36.9737485,127.8714313,36.969963,14:56:00,14:30:00,,,,
36902,127.8726756,36.96675669,127.8734867,36.97356622,14:36:00,14:31:00,,,,
36903,127.8723834,36.97404068,127.8701011,36.96827908,14:40:00,14:36:00,,,,
36904,127.872391,36.97405578,127.8701398,36.96835948,14:40:00,14:36:00,,,,
36905,127.87116,36.96480778,127.8723704,36.97399679,14:43:00,14:38:00,,,,
36906,127.8734442,36.97355993,127.8734418,36.97354608,14:42:00,14:38:00,,,,
36907,127.8714439,36.96475689,127.8718131,36.97094769,14:44:00,14:41:00,,,,
36908,127.8708965,36.9634426,127.8716868,36.97371396,14:48:00,14:42:00,,,,
36909,127.8712253,36.96504584,127.8700088,36.96825697,14:46:00,14:44:00,,,,
36910,127.8712677,36.9650044,127.8714708,36.9699316,14:57:00,14:54:00,,,,
36911,127.8713825,36.9699364,127.8703551,36.9683773,14:59:00,14:57:00,,,,
36912,127.8714072,36.9699134,127.870017,36.9684034,14:59:00,14:57:00,,,,
36913,127.8733998,36.9735217,127.8719156,36.971991,15:07:00,14:58:00,,,,
36914,127.8702339,36.9683944,127.8732808,36.9688793,15:25:00,15:00:00,,,,
36915,127.8702133,36.9684463,127.8718383,36.9708811,15:05:00,15:01:00,,,,
36916,127.8708923,36.96344683,127.8714541,36.96991463,15:04:00,15:01:00,,,,
36917,127.8709925,36.96354544,127.8713612,36.96990996,15:04:00,15:01:00,,,,
36918,127.8734238,36.97353774,127.8709922,36.96375244,15:07:00,15:01:00,,,,
36919,127.8718121,36.97376105,127.8709158,36.96382056,15:07:00,15:03:00,,,,
36920,127.8713141,36.96494333,127.870139,36.96829715,15:07:00,15:04:00,,,,
36921,127.8717948,36.9709,127.873956,36.9689116,15:26:00,15:05:00,,,,
36922,127.8724076,36.9740483,127.8708975,36.9634376,15:10:00,15:05:00,,,,
36923,127.8697429,36.9680958,127.8711724,36.96493221,15:09:00,15:06:00,,,,
36924,127.8724362,36.9740271,127.8709846,36.96375923,15:11:00,15:06:00,,,,
36925,127.8719069,36.9719946,127.8717969,36.9737674,15:26:00,15:08:00,,,,
36926,127.8717825,36.97382207,127.8710217,36.96375559,15:15:00,15:09:00,,,,
36927,127.8717967,36.97371672,127.870989,36.96381279,15:15:00,15:10:00,,,,
36928,127.8709501,36.9637236,127.8691664,36.9690856,15:55:00,15:13:00,,,,
36929,127.8710495,36.96368767,127.8691782,36.96915102,15:55:00,15:13:00,,,,
36930,127.8712222,36.96509178,127.8728715,36.96751361,15:17:00,15:13:00,,,,
36931,127.8713,36.96502993,127.8714419,36.96995259,15:17:00,15:14:00,,,,
36932,127.8713235,36.96499275,127.8714384,36.96994956,15:17:00,15:14:00,,,,
36933,127.8718636,36.97200999,127.8711049,36.96373517,15:23:00,15:17:00,,,,
36934,127.8719396,36.9720157,127.8709505,36.9637798,15:22:00,15:18:00,,,,
36935,127.8709841,36.9638101,127.8717972,36.9738507,15:25:00,15:19:00,,,,
36936,127.8718054,36.9738254,127.8717816,36.9737495,16:00:00,15:20:00,,,,
36937,127.8739073,36.9690227,127.8713078,36.967026,15:50:00,15:26:00,,,,
36938,127.8738855,36.9690194,127.8739321,36.9691367,15:50:00,15:27:00,,,,
36939,127.8710057,36.9638316,127.8717862,36.9709863,15:33:00,15:29:00,,,,
36940,127.8710001,36.9638253,127.8714621,36.9699877,15:54:00,15:31:00,,,,
36941,127.8709279,36.96379216,127.8717599,36.97384177,15:38:00,15:31:00,,,,
36942,127.87103,36.96372334,127.87342,36.97352068,15:50:00,15:33:00,,,,
36943,127.8709193,36.9636544,127.8718463,36.9708965,15:55:00,15:36:00,,,,
36944,127.8709366,36.9634177,127.8727696,36.9668217,15:43:00,15:39:00,,,,
36945,127.8716968,36.97376445,127.8718049,36.97095148,15:42:00,15:39:00,,,,
36946,127.8711604,36.9654837,127.8713624,36.9698017,15:42:00,15:39:00,,,,
36947,127.8710338,36.96382964,127.8727932,36.96686023,15:46:00,15:42:00,,,,
36948,127.8709458,36.9634335,127.8727693,36.96680953,15:46:00,15:42:00,,,,
36949,127.8717733,36.9737054,127.8727836,36.966813,15:46:00,15:43:00,,,,
36950,127.8717582,36.9737633,127.871196,36.9651437,15:53:00,15:49:00,,,,
36951,127.8727953,36.9668447,127.871338,36.9652337,15:51:00,15:49:00,,,,
36952,127.8712047,36.9652251,127.8690907,36.96907481,15:55:00,15:51:00,,,,
36953,127.8718282,36.9737291,127.8718295,36.9708921,15:56:00,15:53:00,,,,
36954,127.8727777,36.96678376,127.869099,36.96903907,15:57:00,15:54:00,,,,
36955,127.8718265,36.97089366,127.8717881,36.97387515,16:20:00,15:58:00,,,,
36956,127.8713393,36.96704705,127.8723763,36.97404662,16:03:00,15:58:00,,,,
36957,127.8717903,36.97089941,127.8713213,36.96536165,16:07:00,16:03:00,,,,
36958,127.872722,36.96685698,127.8700946,36.96834726,16:09:00,16:07:00,,,,
36959,127.8713061,36.96509639,127.8712391,36.96523386,16:26:00,16:07:00,,,,
36960,127.8712958,36.96526101,127.8717993,36.97092206,16:13:00,16:10:00,,,,
36961,127.8735163,36.97347083,127.870958,36.96378454,16:17:00,16:12:00,,,,
36962,127.8708842,36.9684827,127.8712529,36.9653296,16:14:00,16:12:00,,,,
36963,127.8714077,36.9670161,127.8734143,36.9735216,16:20:00,16:15:00,,,,
36964,127.8724201,36.97405702,127.8713027,36.96516003,16:20:00,16:16:00,,,,
36965,127.8700403,36.96829406,127.8723349,36.97401113,16:23:00,16:18:00,,,,
36966,127.8717361,36.97379911,127.8700429,36.97194698,16:21:00,16:20:00,,,,
36967,127.8713915,36.96512131,127.8717706,36.9709633,16:24:00,16:21:00,,,,
36968,127.8691975,36.96912155,127.8710549,36.96371685,16:29:00,16:25:00,,,,
36969,127.8691269,36.96909856,127.871042,36.96408837,16:28:00,16:26:00,,,,
36970,127.8712972,36.9651815,127.8734583,36.9735507,16:34:00,16:28:00,,,,
36971,127.8691698,36.96915139,127.8691516,36.96908959,16:52:00,16:28:00,,,,
36972,127.8717801,36.9736702,127.8713221,36.9670101,16:37:00,16:29:00,,,,
36973,127.8710912,36.9642166,127.871074,36.9641819,16:33:00,16:32:00,,,,
36974,127.8734498,36.97351513,127.8713587,36.96981487,16:35:00,16:32:00,,,,
36975,127.8709084,36.9638371,127.8712297,36.9652613,16:37:00,16:34:00,,,,
36976,127.8734662,36.9735189,127.8724284,36.9739742,16:37:00,16:36:00,,,,
36977,127.8723393,36.9740427,127.8711366,36.9693308,16:40:00,16:37:00,,,,
36978,127.8710375,36.9637456,127.8714178,36.9699365,16:43:00,16:40:00,,,,
36979,127.871308,36.9670311,127.8734175,36.9735239,16:49:00,16:45:00,,,,
36980,127.8701213,36.96827405,127.8691275,36.96908632,16:56:00,16:49:00,,,,
36981,127.8701415,36.96827392,127.8689851,36.96908763,16:56:00,16:49:00,,,,
36982,127.8711652,36.96929677,127.8717739,36.97378043,16:55:00,16:51:00,,,,
36983,127.8700101,36.96829974,127.8723662,36.97399914,16:57:00,16:53:00,,,,
36984,127.8718534,36.97092449,127.8709667,36.96373853,16:59:00,16:56:00,,,,
36985,127.8717775,36.97089649,127.8723155,36.97406562,17:04:00,17:01:00,,,,
36986,127.8723938,36.9740605,127.8712557,36.9652247,17:10:00,17:01:00,,,,
36987,127.8734455,36.9734893,127.8700898,36.9718488,17:05:00,17:02:00,,,,
36988,127.8701022,36.96831161,127.8690962,36.96908516,17:06:00,17:03:00,,,,
36989,127.869122,36.9691218,127.8711802,36.9651325,17:09:00,17:05:00,,,,
36990,127.8691111,36.969133,127.8711952,36.9651201,17:09:00,17:05:00,,,,
36991,127.8710092,36.9637464,127.8701089,36.9719491,17:11:00,17:05:00,,,,
36992,127.8723228,36.9740154,127.8712423,36.9651827,17:10:00,17:07:00,,,,
36993,127.8692099,36.96919401,127.869151,36.96912129,17:25:00,17:07:00,,,,
36994,127.8691179,36.96911294,127.8691346,36.9691003,17:25:00,17:07:00,,,,
36995,127.8729095,36.9675074,127.8708978,36.9637275,17:11:00,17:08:00,,,,
36996,127.8717836,36.9738517,127.8733782,36.973548,17:09:00,17:08:00,,,,
36997,127.8714638,36.96991468,127.8712154,36.96487175,17:10:00,17:08:00,,,,
36998,127.8715483,36.96991397,127.8725769,36.974078,17:12:00,17:09:00,,,,
36999,127.8712725,36.9651529,127.8734465,36.973514,17:18:00,17:10:00,,,,
37000,127.8713204,36.96522396,127.8723374,36.97403551,17:21:00,17:16:00,,,,
37001,127.8711177,36.96492904,127.8723826,36.97405543,17:23:00,17:18:00,,,,
37002,127.8734139,36.9735387,127.8708134,36.9633362,17:23:00,17:19:00,,,,
37003,127.8723677,36.9740231,127.8719853,36.9736558,17:25:00,17:21:00,,,,
37004,127.8712565,36.9651001,127.8718246,36.970941,17:25:00,17:22:00,,,,
37005,127.8722984,36.9740327,127.8711159,36.9648005,17:30:00,17:25:00,,,,
37006,127.8708895,36.96335999,127.8708528,36.96356926,17:35:00,17:25:00,,,,
37007,127.8711831,36.96518004,127.8691623,36.96910682,17:30:00,17:27:00,,,,
37008,127.8723644,36.9740773,127.8713334,36.96500075,17:40:00,17:30:00,,,,
37009,127.8711945,36.964762,127.8733504,36.9735985,17:40:00,17:36:00,,,,
37010,127.8690951,36.96901595,127.873405,36.97353127,17:40:00,17:36:00,,,,
37011,127.8692019,36.96914864,127.8734365,36.97347963,17:41:00,17:37:00,,,,
37012,127.8718348,36.9709083,127.8711283,36.9648858,17:42:00,17:39:00,,,,
37013,127.8718127,36.9709755,127.8710914,36.964979,17:42:00,17:39:00,,,,
37014,127.8713437,36.96981131,127.8723974,36.97404532,17:43:00,17:39:00,,,,
37015,127.8710324,36.9637605,127.8734195,36.9735177,17:48:00,17:41:00,,,,
37016,127.8691726,36.96914467,127.8717413,36.97380952,17:48:00,17:42:00,,,,
37017,127.8717995,36.9708738,127.8691476,36.9690728,17:45:00,17:42:00,,,,
37018,127.8718002,36.9709169,127.8691676,36.9691013,17:45:00,17:42:00,,,,
37019,127.8712426,36.96503005,127.8734269,36.973553,17:51:00,17:46:00,,,,
37020,127.8733886,36.9735294,127.8733886,36.9735294,17:47:00,17:46:00,,,,
37021,127.8734017,36.9735286,127.8727331,36.9668072,17:52:00,17:47:00,,,,
37022,127.8734412,36.9735294,127.8709386,36.9637812,17:53:00,17:48:00,,,,
37023,127.8734815,36.9734669,127.8717447,36.9738108,18:06:00,17:48:00,,,,
37024,127.8728765,36.96752471,127.8711795,36.96492611,17:53:00,17:50:00,,,,
37025,127.8724659,36.97404662,127.8712498,36.96520305,17:56:00,17:51:00,,,,
37026,127.8717803,36.9738016,127.8711949,36.965105,17:56:00,17:52:00,,,,
37027,127.8711528,36.96486936,127.8700839,36.9718994,17:58:00,17:52:00,,,,
37028,127.8690047,36.9690381,127.8708894,36.963711,17:55:00,17:52:00,,,,
37029,127.871428,36.969891,127.8718162,36.9739889,17:59:00,17:54:00,,,,
37030,127.8713008,36.9648536,127.871819,36.9706225,18:01:00,17:57:00,,,,
37031,127.8709381,36.96347666,127.872413,36.974031,18:04:00,17:57:00,,,,
37032,127.8709829,36.96377026,127.8724183,36.97400465,18:04:00,17:57:00,,,,
37033,127.8709507,36.9637219,127.873446,36.9734981,18:05:00,17:58:00,,,,
37034,127.873431,36.97351366,127.8708758,36.96378514,18:02:00,17:58:00,,,,
37035,127.8714561,36.9699178,127.871138,36.9650704,18:00:00,17:58:00,,,,
37036,127.8712793,36.9652322,127.8718211,36.9739047,18:05:00,17:59:00,,,,
37037,127.8712075,36.96492531,127.8701178,36.96831839,18:06:00,17:59:00,,,,
37038,127.871216,36.9651251,127.8734176,36.97352066,18:06:00,18:00:00,,,,
37039,127.8727307,36.96683019,127.871766,36.97383083,18:06:00,18:02:00,,,,
37040,127.8717663,36.9737964,127.8718476,36.9709419,18:04:00,18:02:00,,,,
37041,127.8709403,36.96376132,127.8700581,36.96827013,18:06:00,18:02:00,,,,
37042,127.8712335,36.9650381,127.8722934,36.9740145,20:16:00,18:02:00,,,,
37043,127.8734011,36.9734976,127.8728876,36.9674893,18:05:00,18:03:00,,,,
37044,127.8691521,36.96912146,127.8712028,36.96517631,18:10:00,18:08:00,,,,
37045,127.8690905,36.9691445,127.8713184,36.965125,18:10:00,18:08:00,,,,
37046,127.8718019,36.973939,127.8717806,36.9739021,18:34:00,18:08:00,,,,
37047,127.8733821,36.9736092,127.8727321,36.9668102,18:15:00,18:12:00,,,,
37048,127.8713101,36.9651562,127.8728083,36.9675149,18:18:00,18:15:00,,,,
37049,127.8724211,36.9740641,127.8711417,36.9647554,18:21:00,18:15:00,,,,
37050,127.8710453,36.96727786,127.8708631,36.96339637,18:20:00,18:17:00,,,,
37051,127.8712417,36.9651776,127.8715376,36.9699001,18:21:00,18:18:00,,,,
37052,127.8740218,36.96796408,127.8717538,36.97391017,18:28:00,18:23:00,,,,
37053,127.8712528,36.96480667,127.8718732,36.97099242,18:30:00,18:26:00,,,,
37054,127.8717803,36.97384164,127.8712703,36.96515906,18:35:00,18:31:00,,,,
37055,127.871029,36.96337776,127.8734516,36.97355492,18:38:00,18:33:00,,,,
37056,127.8717534,36.9738325,127.8738012,36.96899846,18:38:00,18:34:00,,,,
37057,127.8717654,36.97384406,127.873803,36.96901936,18:38:00,18:34:00,,,,
37058,127.8712536,36.9651436,127.8734032,36.9734984,18:43:00,18:37:00,,,,
37059,127.8724196,36.97406027,127.8709991,36.96373149,18:46:00,18:41:00,,,,
37060,127.8716818,36.97093306,127.872786,36.96685338,18:47:00,18:44:00,,,,
37061,127.8700519,36.9718677,127.8700567,36.9719246,18:48:00,18:45:00,,,,
37062,127.8700951,36.9718757,127.8700752,36.9718532,18:45:00,18:45:00,,,,
37063,127.8700533,36.9719279,127.8701135,36.9719135,18:48:00,18:46:00,,,,
37064,127.8727768,36.9667653,127.8712524,36.9652775,18:49:00,18:47:00,,,,
37065,127.8713967,36.9699069,127.8734583,36.9734759,18:51:00,18:47:00,,,,
37066,127.871045,36.96372581,127.8724306,36.97402718,19:04:00,18:51:00,,,,
37067,127.8713201,36.96532997,127.8723363,36.97405513,18:59:00,18:54:00,,,,
37068,127.8711013,36.9692687,127.8701024,36.9719433,19:01:00,18:54:00,,,,
37069,127.8738045,36.96898463,127.8723786,36.97404672,18:59:00,18:55:00,,,,
37070,127.8738004,36.9689822,127.8723284,36.97406478,18:59:00,18:55:00,,,,
37071,127.8728494,36.9668094,127.8712871,36.96530537,18:58:00,18:56:00,,,,
37072,127.871824,36.97096988,127.8712417,36.96519058,19:00:00,18:58:00,,,,
37073,127.8712553,36.96517517,127.8722835,36.97408407,19:06:00,19:02:00,,,,
37074,127.8712149,36.9650621,127.8728755,36.9674785,19:06:00,19:02:00,,,,
37075,127.8723458,36.9740312,127.871188,36.9649354,19:13:00,19:07:00,,,,
37076,127.8700462,36.9719275,127.8727558,36.9695563,19:26:00,19:13:00,,,,
37077,127.8732995,36.9688946,127.8718403,36.9738837,19:17:00,19:13:00,,,,
37078,127.8700775,36.97187386,127.8712395,36.96514904,19:18:00,19:14:00,,,,
37079,127.871222,36.96522601,127.8717825,36.9709461,19:23:00,19:20:00,,,,
37080,127.8718286,36.9738761,127.872725,36.9695415,19:29:00,19:25:00,,,,
37081,127.8714387,36.9698994,127.8723671,36.9740307,19:32:00,19:27:00,,,,
37082,127.8714341,36.9699373,127.8723869,36.9740431,19:32:00,19:27:00,,,,
37083,127.8712327,36.96493309,127.8722838,36.9740519,19:35:00,19:28:00,,,,
37084,127.8717673,36.9708504,127.8728129,36.9667437,19:35:00,19:29:00,,,,
37085,127.8723949,36.97404631,127.8712645,36.96517871,19:37:00,19:34:00,,,,
37086,127.8714146,36.9699493,127.8723801,36.9742526,19:41:00,19:37:00,,,,
37087,127.8713343,36.9699241,127.8722815,36.9740416,19:41:00,19:37:00,,,,
37088,127.8723827,36.97405597,127.8723177,36.97401042,19:38:00,19:37:00,,,,
37089,127.8723442,36.97402124,127.8723471,36.97403739,19:53:00,19:38:00,,,,
37090,127.8711986,36.9651581,127.8723613,36.9740329,19:46:00,19:41:00,,,,
37091,127.8700947,36.97192027,127.8712701,36.96523838,19:50:00,19:47:00,,,,
37092,127.8734564,36.9735058,127.8710018,36.96377176,19:52:00,19:48:00,,,,
37093,127.8727601,36.96682303,127.8717884,36.97384407,19:57:00,19:52:00,,,,
37094,127.8723106,36.97394768,127.8712515,36.96500426,19:55:00,19:52:00,,,,
37095,127.8713177,36.9652415,127.8723318,36.9741107,19:58:00,19:53:00,,,,
37096,127.8710187,36.9637641,127.871811,36.9737601,20:00:00,19:55:00,,,,
37097,127.8722751,36.9741165,127.8712158,36.9649603,19:58:00,19:55:00,,,,
37098,127.872671,36.9695066,127.8722107,36.9740975,19:59:00,19:55:00,,,,
37099,127.8717818,36.9709469,127.8723028,36.9741249,19:59:00,19:56:00,,,,
37100,127.8723155,36.97409655,127.8718359,36.97103788,20:04:00,20:02:00,,,,
37101,127.871237,36.9650449,127.872704,36.9694904,20:14:00,20:10:00,,,,
37102,127.8711671,36.96489817,127.8718652,36.97396007,20:16:00,20:10:00,,,,
37103,127.8718463,36.97088384,127.8714028,36.9699063,20:23:00,20:16:00,,,,
37104,127.871645,36.9708222,127.8714458,36.9699062,20:23:00,20:16:00,,,,
37105,127.8723761,36.97407218,127.8712247,36.96523014,20:21:00,20:17:00,,,,
37106,127.8718045,36.9708729,127.8733869,36.9735414,20:28:00,20:24:00,,,,
37107,127.8723116,36.9740442,127.8712388,36.9651318,20:29:00,20:26:00,,,,
37108,127.8712856,36.96521168,127.8719491,36.97202669,20:32:00,20:28:00,,,,
37109,127.8712118,36.9651475,127.8727528,36.9667864,20:31:00,20:29:00,,,,
37110,127.8714412,36.96990812,127.8733804,36.97350989,20:43:00,20:39:00,,,,
37111,127.8718185,36.97089459,127.8723408,36.97399564,20:43:00,20:40:00,,,,
37112,127.8733877,36.97352791,127.8711656,36.96493611,20:47:00,20:41:00,,,,
37113,127.8734709,36.97346941,127.8712151,36.96490202,20:47:00,20:42:00,,,,
37114,127.8727432,36.96949064,127.8717378,36.97382202,20:50:00,20:42:00,,,,
37115,127.8727703,36.9667736,127.8733983,36.9735084,20:49:00,20:42:00,,,,
