idx,o_x1,o_y1,d_x2,d_y2,d_t,time,,,,,
36310,127.8713289,36.96922472,127.8717469,36.97376934,0:05:00,0:01:00,,,,,
36311,127.871745,36.97369232,127.8708434,36.96336645,0:08:00,0:04:00,,,,,
36312,127.8700197,36.97192456,127.8727572,36.96680433,0:10:00,0:08:00,,,,,
36313,127.8691764,36.9691155,127.8711732,36.9652235,0:19:00,0:16:00,,,,,
36314,127.8690407,36.96908978,127.871232,36.9652194,0:19:00,0:17:00,,,,,
36315,127.8691759,36.9691298,127.871158,36.965064,0:19:00,0:17:00,,,,,
36316,127.8707471,36.96336596,127.8713193,36.96530444,0:24:00,0:23:00,,,,,
36317,127.8713304,36.96544226,127.8690726,36.96909214,0:35:00,0:33:00,,,,,
36318,127.8711496,36.9648518,127.8723711,36.9740461,1:17:00,1:11:00,,,,,
36319,127.8739306,36.96793743,127.8727214,36.96675635,1:15:00,1:14:00,,,,,
36320,127.8691396,36.9691623,127.8719359,36.9733079,1:21:00,1:16:00,,,,,
36321,127.8712498,36.9651632,127.8712666,36.96519021,1:46:00,1:41:00,,,,,
36322,127.871314,36.9651889,127.8719582,36.972019,1:47:00,1:43:00,,,,,
36323,127.8713014,36.96518108,127.8723947,36.97410525,1:50:00,1:43:00,,,,,
36324,127.8714476,36.96991991,127.8708414,36.9636352,1:49:00,1:45:00,,,,,
36325,127.8713556,36.96522009,127.8717691,36.97091312,2:34:00,2:31:00,,,,,
36326,127.8715364,36.9651846,127.8740709,36.9678689,2:46:00,2:42:00,,,,,
36327,127.8709465,36.96355571,127.8711914,36.96519423,2:50:00,2:43:00,,,,,
36328,127.8713383,36.96703836,127.8708954,36.96376936,3:41:00,3:40:00,,,,,
36329,127.8713432,36.96513708,127.8718371,36.97371257,3:45:00,3:41:00,,,,,
36330,127.871239,36.9651551,127.8722722,36.974015,3:56:00,3:48:00,,,,,
36331,127.8709903,36.9637015,127.8710327,36.9636871,3:55:00,3:54:00,,,,,
36332,127.8717869,36.9708673,127.8734268,36.97350379,4:00:00,3:57:00,,,,,
36333,127.8719836,36.9719787,127.8718582,36.9709062,4:21:00,4:01:00,,,,,
36334,127.8713893,36.9699455,127.8734328,36.9734869,4:17:00,4:13:00,,,,,
36335,127.8710162,36.96388776,127.8723609,36.97405051,4:20:00,4:14:00,,,,,
36336,127.872764,36.9669061,127.8700191,36.9682698,4:52:00,4:28:00,,,,,
36337,127.8727677,36.96685283,127.8722627,36.97406048,5:39:00,5:33:00,,,,,
36338,127.8710807,36.96933,127.8712062,36.9693324,5:44:00,5:38:00,,,,,
36339,127.8710583,36.96945146,127.8718047,36.97376751,5:43:00,5:38:00,,,,,
36340,127.8723313,36.9741,127.8709068,36.9634639,6:44:00,6:39:00,,,,,
36341,127.872446,36.97406335,127.8708474,36.96344559,6:45:00,6:39:00,,,,,
36342,127.8723863,36.9740352,127.8708223,36.9634735,6:44:00,6:39:00,,,,,
36343,127.8734762,36.97345447,127.8712174,36.96524469,7:10:00,7:06:00,,,,,
36344,127.8723213,36.9740586,127.8712389,36.965198,7:13:00,7:10:00,,,,,
36345,127.8724679,36.97401695,127.8732673,36.96892762,7:25:00,7:23:00,,,,,
36346,127.8723577,36.97406016,127.8733054,36.96892754,7:25:00,7:23:00,,,,,
36347,127.8734369,36.97352682,127.873266,36.96892219,7:41:00,7:38:00,,,,,
36348,127.8717636,36.9737298,127.8713346,36.9670233,7:57:00,7:54:00,,,,,
36349,127.8712263,36.96525033,127.8723332,36.97404236,8:06:00,8:00:00,,,,,
36350,127.87349,36.97347956,127.871165,36.96482078,8:20:00,8:16:00,,,,,
36351,127.8722883,36.97391741,127.8713527,36.96976918,8:26:00,8:23:00,,,,,
36352,127.8723397,36.9740533,127.8732651,36.9688798,8:39:00,8:35:00,,,,,
36353,127.8701014,36.96824778,127.8711085,36.9648128,8:42:00,8:40:00,,,,,
36354,127.8709112,36.9634507,127.8738264,36.9689854,8:50:00,8:45:00,,,,,
36355,127.8732708,36.96894584,127.8732909,36.96895569,8:56:00,8:45:00,,,,,
36356,127.8717897,36.9737228,127.8712127,36.9653031,8:54:00,8:48:00,,,,,
36357,127.8708889,36.9634891,127.8732979,36.9688846,8:54:00,8:50:00,,,,,
36358,127.871345,36.9670052,127.8723173,36.9740149,8:57:00,8:52:00,,,,,
36359,127.8708252,36.9633792,127.8711786,36.96483121,9:24:00,9:23:00,,,,,
36360,127.8712079,36.96479894,127.872738,36.96684692,9:25:00,9:24:00,,,,,
36361,127.8722396,36.97410673,127.8713033,36.96477526,9:34:00,9:31:00,,,,,
36362,127.8722883,36.9740146,127.8712035,36.9648225,9:45:00,9:40:00,,,,,
36363,127.871413,36.96522749,127.8723369,36.97419491,9:58:00,9:53:00,,,,,
36364,127.8712226,36.96480895,127.871825,36.97092457,10:02:00,9:58:00,,,,,
36365,127.8712618,36.9648307,127.8691451,36.9690873,10:05:00,10:01:00,,,,,
36366,127.8717951,36.9737999,127.871857,36.9709226,10:07:00,10:05:00,,,,,
36367,127.8723892,36.97403619,127.8708763,36.96341273,10:12:00,10:08:00,,,,,
36368,127.8717907,36.97089006,127.8733006,36.96890996,10:14:00,10:11:00,,,,,
36369,127.8713567,36.9651321,127.8708264,36.963429,10:15:00,10:14:00,,,,,
36370,127.8712863,36.9647793,127.8691482,36.96910167,10:37:00,10:17:00,,,,,
36371,127.871133,36.96476909,127.8711286,36.96486213,10:34:00,10:19:00,,,,,
36372,127.8709483,36.9633901,127.8732969,36.9689432,10:24:00,10:21:00,,,,,
36373,127.8734552,36.9735409,127.8713554,36.966992,10:24:00,10:21:00,,,,,
36374,127.872387,36.9739777,127.8712331,36.9653079,10:27:00,10:23:00,,,,,
36375,127.8723887,36.97411068,127.8708737,36.96345706,10:29:00,10:25:00,,,,,
36376,127.8717871,36.97373775,127.8709632,36.96376258,10:34:00,10:30:00,,,,,
36377,127.8735156,36.9734874,127.8727659,36.9668259,10:34:00,10:30:00,,,,,
36378,127.8733298,36.9688681,127.871957,36.9719561,10:36:00,10:34:00,,,,,
36379,127.8732668,36.96889409,127.871936,36.97199063,10:36:00,10:34:00,,,,,
36380,127.8718761,36.97394892,127.8712838,36.96531252,10:40:00,10:34:00,,,,,
36381,127.8711936,36.9648091,127.8727709,36.9667927,10:37:00,10:35:00,,,,,
36382,127.8723091,36.97401767,127.8726931,36.9668538,10:50:00,10:46:00,,,,,
36383,127.8724016,36.9740417,127.8727354,36.9668038,10:50:00,10:46:00,,,,,
36384,127.8718424,36.970906,127.8708528,36.9637536,10:49:00,10:46:00,,,,,
36385,127.8726986,36.96685739,127.8708313,36.96385878,10:56:00,10:54:00,,,,,
36386,127.8729722,36.9728778,127.8717024,36.9737522,11:10:00,10:54:00,,,,,
36387,127.8718601,36.97388466,127.8708728,36.96354581,11:10:00,11:06:00,,,,,
36388,127.8723266,36.9740545,127.8711654,36.96491211,11:28:00,11:25:00,,,,,
36389,127.8712926,36.9652235,127.8714063,36.969796,11:40:00,11:37:00,,,,,
36390,127.8717617,36.97385058,127.8711301,36.96497275,11:44:00,11:40:00,,,,,
36391,127.8716931,36.97394928,127.8712268,36.96496086,11:44:00,11:40:00,,,,,
36392,127.8717169,36.9736684,127.8712165,36.96488871,11:44:00,11:40:00,,,,,
36393,127.8717896,36.9739542,127.8734403,36.97355083,11:46:00,11:44:00,,,,,
36394,127.8724284,36.97408091,127.8712904,36.96494041,11:52:00,11:45:00,,,,,
36395,127.8723507,36.97406238,127.871277,36.96528124,11:50:00,11:45:00,,,,,
36396,127.8724139,36.9741392,127.8711453,36.9648982,11:56:00,11:52:00,,,,,
36397,127.8712942,36.96979613,127.8711975,36.9649513,11:55:00,11:53:00,,,,,
36398,127.8728717,36.9667642,127.8734523,36.9735016,11:58:00,11:54:00,,,,,
36399,127.87182,36.9737122,127.8709369,36.9638253,11:59:00,11:55:00,,,,,
36400,127.8723871,36.97406548,127.8709377,36.96376213,11:59:00,11:55:00,,,,,
36401,127.8727865,36.966809,127.8714153,36.9699267,11:58:00,11:56:00,,,,,
36402,127.8726927,36.96672385,127.8709827,36.96373491,11:59:00,11:57:00,,,,,
36403,127.8713507,36.96523928,127.8718108,36.97097571,12:03:00,12:00:00,,,,,
36404,127.8717503,36.97374521,127.8708538,36.96342627,12:06:00,12:00:00,,,,,
36405,127.8734326,36.9735181,127.8727686,36.9667977,12:20:00,12:17:00,,,,,
36406,127.8728116,36.9667342,127.8738301,36.9689932,12:21:00,12:18:00,,,,,
36407,127.8734455,36.9734957,127.8710822,36.9648133,12:27:00,12:23:00,,,,,
36408,127.8734705,36.97356389,127.8724001,36.97405132,12:29:00,12:27:00,,,,,
36409,127.8720117,36.9710743,127.8711859,36.9649989,12:32:00,12:29:00,,,,,
36410,127.8717749,36.97092849,127.871139,36.96501432,12:32:00,12:29:00,,,,,
36411,127.8717855,36.97382891,127.8709113,36.96341145,12:37:00,12:31:00,,,,,
36412,127.8723098,36.9740276,127.8711662,36.9649324,12:39:00,12:36:00,,,,,
36413,127.8727338,36.9668201,127.8708956,36.9634127,12:39:00,12:37:00,,,,,
36414,127.8718347,36.97381642,127.8711204,36.96455374,12:43:00,12:38:00,,,,,
36415,127.872404,36.9740369,127.8712558,36.9650186,12:52:00,12:46:00,,,,,
36416,127.8719216,36.97382656,127.8712355,36.96499703,12:52:00,12:47:00,,,,,
36417,127.8718111,36.9738005,127.8712729,36.9649595,12:52:00,12:47:00,,,,,
36418,127.8717156,36.9737495,127.8711404,36.9649975,12:52:00,12:47:00,,,,,
36419,127.8707955,36.96354023,127.8734136,36.97361336,12:55:00,12:50:00,,,,,
36420,127.8719568,36.9719804,127.8708036,36.9634457,12:55:00,12:52:00,,,,,
36421,127.8712835,36.9649061,127.8717845,36.9709441,13:06:00,13:03:00,,,,,
36422,127.8712349,36.96497784,127.8718381,36.97099524,13:06:00,13:03:00,,,,,
36423,127.8712973,36.96500855,127.8727781,36.96681792,13:10:00,13:08:00,,,,,
36424,127.8735272,36.9734825,127.8709668,36.9636623,13:14:00,13:10:00,,,,,
36425,127.8729737,36.9667874,127.8708418,36.9633606,13:13:00,13:11:00,,,,,
36426,127.8713072,36.96700851,127.8708512,36.9634229,13:16:00,13:14:00,,,,,
36427,127.8718164,36.97090721,127.8709413,36.9637956,13:17:00,13:15:00,,,,,
36428,127.8712942,36.96491651,127.8735196,36.97349342,13:22:00,13:16:00,,,,,
36429,127.8712482,36.9649498,127.8728636,36.9675584,13:20:00,13:16:00,,,,,
36430,127.8711594,36.9648293,127.8728624,36.9674994,13:20:00,13:16:00,,,,,
36431,127.8714185,36.9648249,127.8734559,36.97352444,13:21:00,13:17:00,,,,,
36432,127.8712336,36.9649954,127.8728602,36.9674932,13:20:00,13:17:00,,,,,
36433,127.8719563,36.97100001,127.8708106,36.96348506,13:19:00,13:17:00,,,,,
36434,127.8719409,36.9720326,127.8710973,36.96508241,13:20:00,13:17:00,,,,,
36435,127.8712203,36.9649812,127.8718332,36.9709444,13:23:00,13:20:00,,,,,
36436,127.8728481,36.9675,127.8732365,36.9688781,13:25:00,13:23:00,,,,,
36437,127.8728766,36.967508,127.8732772,36.9689211,13:25:00,13:23:00,,,,,
36438,127.872931,36.9675123,127.8732167,36.9689485,13:25:00,13:23:00,,,,,
36439,127.8733705,36.9734764,127.8717955,36.9738615,13:43:00,13:24:00,,,,,
36440,127.8708597,36.9633778,127.8732982,36.9689142,13:28:00,13:24:00,,,,,
36441,127.8710381,36.9637533,127.8727851,36.9667674,13:30:00,13:27:00,,,,,
36442,127.8713258,36.96512769,127.8727775,36.96679031,13:34:00,13:29:00,,,,,
36443,127.8733983,36.9736092,127.8711582,36.9647713,13:33:00,13:29:00,,,,,
36444,127.8708192,36.9633425,127.8727466,36.9667722,13:35:00,13:33:00,,,,,
36445,127.8732976,36.9689287,127.8712122,36.9649409,13:36:00,13:34:00,,,,,
36446,127.8733253,36.9689472,127.8727394,36.9668152,13:36:00,13:35:00,,,,,
36447,127.8727558,36.96680127,127.8709008,36.96382713,13:39:00,13:36:00,,,,,
36448,127.8691423,36.9690559,127.8712504,36.9649962,13:40:00,13:37:00,,,,,
36449,127.8718151,36.9709399,127.8708519,36.9634098,13:42:00,13:39:00,,,,,
36450,127.8711497,36.964771,127.8700484,36.9719692,13:47:00,13:42:00,,,,,
36451,127.8714285,36.96978531,127.8708162,36.96342259,13:48:00,13:44:00,,,,,
36452,127.8714101,36.9698806,127.8709803,36.9637603,13:48:00,13:45:00,,,,,
36453,127.8709131,36.9634376,127.8718198,36.9709262,13:50:00,13:46:00,,,,,
36454,127.8691455,36.969082,127.8690843,36.9691337,14:03:00,13:47:00,,,,,
36455,127.8700851,36.9719237,127.870962,36.9637595,13:53:00,13:50:00,,,,,
36456,127.8719225,36.97398903,127.8718443,36.97095796,13:54:00,13:51:00,,,,,
36457,127.8712626,36.9652741,127.8733009,36.9689234,13:54:00,13:51:00,,,,,
36458,127.8712685,36.96493801,127.872917,36.96753028,14:01:00,13:54:00,,,,,
36459,127.871123,36.96369326,127.8723622,36.97408253,13:59:00,13:55:00,,,,,
36460,127.8727215,36.96682185,127.8740979,36.96790485,13:59:00,13:57:00,,,,,
36461,127.8733592,36.968959,127.8728906,36.9676077,13:59:00,13:58:00,,,,,
36462,127.8718829,36.97092286,127.8718272,36.97389616,14:02:00,13:58:00,,,,,
36463,127.8712396,36.9649952,127.871759,36.9737876,14:04:00,13:58:00,,,,,
36464,127.8712311,36.96495008,127.8732726,36.96890902,14:02:00,13:59:00,,,,,
36465,127.8725275,36.9740325,127.8712966,36.965198,14:07:00,14:03:00,,,,,
36466,127.8712022,36.9645811,127.8701285,36.9682873,14:14:00,14:10:00,,,,,
36467,127.8712574,36.96495415,127.8701686,36.968341,14:14:00,14:11:00,,,,,
36468,127.8713424,36.9652156,127.8717848,36.9738633,14:15:00,14:11:00,,,,,
36469,127.8711979,36.9649643,127.8701783,36.9683073,14:14:00,14:11:00,,,,,
36470,127.8712446,36.9649209,127.8701131,36.968276,14:14:00,14:11:00,,,,,
36471,127.8708914,36.9633659,127.87184,36.9709374,14:26:00,14:22:00,,,,,
36472,127.871298,36.96498219,127.8712993,36.96509427,15:02:00,14:34:00,,,,,
36473,127.871238,36.96496362,127.871252,36.96511309,15:02:00,14:35:00,,,,,
36474,127.8717366,36.9738976,127.8708595,36.9633222,14:43:00,14:38:00,,,,,
36475,127.8717869,36.97383231,127.8734538,36.97350423,14:47:00,14:38:00,,,,,
36476,127.8727765,36.9668338,127.8708722,36.9633593,14:41:00,14:38:00,,,,,
36477,127.8732282,36.9688592,127.8728322,36.9675327,14:50:00,14:49:00,,,,,
36478,127.871155,36.96374458,127.8723337,36.97407057,15:08:00,14:51:00,,,,,
36479,127.8717707,36.97369547,127.87119,36.96503214,14:56:00,14:52:00,,,,,
36480,127.8726795,36.96678277,127.8712012,36.96498957,14:54:00,14:52:00,,,,,
36481,127.8712478,36.9650583,127.8717885,36.9738154,15:04:00,14:59:00,,,,,
36482,127.8712173,36.96503177,127.8718689,36.97093934,15:05:00,15:01:00,,,,,
36483,127.8718069,36.97093373,127.8709313,36.96377248,15:10:00,15:07:00,,,,,
